orden,paso,parametros
1,EliminadorColumnas(id_registro),{'existe': True}
2,CodificadorNominal(raceeth_cod),"{'categorias': [np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0)]}"
3,CodificadorNominal(sexo_cod),"{'categorias': [np.float64(1.0), np.float64(2.0)]}"
